Salary;Work_Type;Company_Size;Role;Company;percent
47200;стажер;26801;менеджер по социальным сетям;Icahn Enterprises;96.95678636640292
44800;Стажер;100340;Фронтенд веб-разработчик; PNC Financial Services Group;93.62591431556949
48800;временный;84525;менеджер по контролю качества;United Services Automobile Assn.;101.83639398998329
52000;полный рабочий день;129896;инженер беспроводной сети;Hess;110.99252934898614
51200;стажер;53944;менеджер по проведению конференций;Cairn Energy;105.17346317711502
47200;Полная занятость;23196;Аналитик по обеспечению качества;Adani Ports and Special Economic Zone;98.11529933481154
50400;временная;26119;классный руководитель;FedEx;103.64806866952789
52000;контракт;40558;дизайнер пользовательского интерфейса;Ryder System;109.97830802603036
52000;Временная;105343;Дизайнер интерфейсов;Zee Entertainment Enterprises;106.55737704918033
48000;полный рабочий день;102069;свадебный консультант;CSX;102.45464247598719
45600;контракт;130338;специалист по тестированию производительности;Вкусно и точка;96.44251626898048
51200;контракт;117285;адвокат по семейному праву;TPG Telecom;108.28633405639914
52000;неполный рабочий день;79071;инженер-механик;ThyssenKrupp AG;106.703146374829
44800;временная;127900;аналитик по сетевой безопасности;EnLink Midstream;92.13161659513591
45600;полный рабочий день;92128;менеджер по работе с клиентами;NGL Energy Partners;97.33191035218783
52000;неполный рабочий день;92028;бренд-менеджер по продукции;Bayer AG;106.703146374829
48000;неполный рабочий день;49100;социальный работник в школе;Deere;98.49521203830369
44000;полный рабочий день;29318;создатель контента;Mondelez International;93.91675560298826
44000;контракт;126630;Аналитик по доставке; 3M;93.058568329718
52000;временный;48199;координатор по кадрам;KKR;108.51419031719533
49600; полный рабочий день;64351;юридический секретарь;NGL Energy Partners;100.0
51200;Стажер;118041;Семейная медсестра;EasyJet;107.00104493207942
46400;Стажер;40723;Стратег по работе с клиентами;Otis Worldwide;96.96969696969697
49600;Временная;127385; Бэкэнд разработчик; Oil Search;101.63934426229508
48000;Временная;28043;Координатор цепочки поставок;HCL Technologies;98.36065573770492
46400;Временная;81318;Координатор цепочки поставок;DTE Energy;95.08196721311475
47200;Контракт;105370;B2B Консультант по продажам;Associated British Foods;98.33333333333333
51200;неполный рабочий день;51537;инженер-строитель;Xcel Energy;105.06155950752394
50400;стажер;93670;аналитик центра управления безопасностью;Deutsche Post DHL Group;103.53012781497262
52000;стажер;56930; фронт-энд разработчик;Bodycote;106.81679853925745
44000;Стажер;64185;Специалист по планированию налогов;Old Republic International;91.95402298850574
52000;неполный рабочий день;101834;Координатор мероприятий;United Airlines Holdings;106.703146374829
45600;контракт;130962;клинический психолог;Tenet Healthcare;96.44251626898048
52000;контракт;38044;инженер-электрик;Regions Financial;109.97830802603036
49600;Временная;27725;Дизайнер по освещению;CBRE Group;101.63934426229508
46400;неполный рабочий день;35273; Бизнес-аналитик;Отель Луна;95.21203830369357
48000;стажер;103693;контент-писатель;Corning;98.60012172854535
51200;временная;29884;дизайнер пользовательского интерфейса;Leidos Holdings;105.29327610872676
45600;неполный рабочий день;104700;персональный налоговый консультант;Divi's Laboratories;93.5704514363885
46400;полный рабочий день;47107;тестировщик автоматизированного оборудования; Tata Consumer Products;99.03948772678763
44800;стажер;61246; руководитель отдела продаж;Fannie Mae;92.02678027997565
44000; частичная занятость;43665;специалист по ИТ-поддержке;Spotify Technology S.A.;98.21428571428571
49600;стажер;125427;специалист по работе с клиентами;Bajaj Auto;101.88679245283019
52000;неполный рабочий день;57134;менеджер по социальным сетям;Renishaw;106.703146374829
44800;временный;55648;разработчик баз данных;News Corp.;93.48914858096829
47200;Стажер;107738;Исследователь в области социальных наук;KKR;98.6415882967607
44800;Временная;91636; Регистратор; Arconic;91.80327868852459
51200;стажер;43166;штатная медсестра;Revlon;105.17346317711502
47200;временная;99455;международный налоговый консультант;Dow;97.06723891273248
45600;временный;21827;аналитик по рискам;Seaboard;95.15859766277129
49600;временная;65648;логопед;Всезнайка;102.00286123032905
44000;контракт;65183;региональный директор по продажам;Enterprise Products Partners;93.058568329718
47200;полный рабочий день;73840;консультант по вопросам психического здоровья;Bayer AG;100.7470651013874
47200;частичная занятость;25713; Семейная медсестра-практикант;Carrier Global;98.33333333333333
51200;Временная;14771;Градостроитель;UnitedHealth Group;104.91803278688525
48000;Временная;90064;Менеджер по работе со стратегическими клиентами;Avnet;98.36065573770492
50400;Стажер;48875;Исследователь пользователей;UGI;105.32915360501566
45600;временный;18334;менеджер по работе с клиентами;Disney+;95.15859766277129
52000;неполный рабочий день;45782;финансовый аналитик;General Electric;106.703146374829
52000;стажер;58759;техник по поддержке настольных компьютеров;Brighthouse Financial;106.81679853925745
48800;временная;40875;художественный куратор;Deutsche Pfandbriefbank AG;100.35765379113019
45600;Полная занятость;42159;Sales Account Executive;GlaxoSmithKline;94.78935698447894
44800;контракт;121311;разработчик мобильных приложений;Starbucks;94.75054229934923
52000;стажер;54212;Agile Project Manager;Hindalco Industries;106.81679853925745
52000;Полная занятость;110983;инженер-строитель;Lincoln National;108.09312638580933
44000;частичная занятость;85922;менеджер по обеспечению качества обслуживания;HCL Technologies;91.66666666666666
47200;полный рабочий день;22971;аналитик по закупкам;Nestle India;100.7470651013874
50400;стажер;87873;семейный консультант;Электрокомпоненты;103.53012781497262
51200;стажер;77894;аналитик по логистике;Community Health Systems;105.17346317711502
44800;стажер;58034;архитектор данных;Equitable Holdings;92.02678027997565
51200;неполный рабочий день;128742;региональный директор по продажам;Bajaj Finserv;105.06155950752394
46400;контракт;24654;аналитик по логистике;PulteGroup;98.13449023861172
44800;неполный рабочий день;39267;дизайнер пользовательского интерфейса;Stockland Corporation;91.92886456908344
52000;контракт;92865;аналитик по обеспечению качества;Group 1 Automotive;109.97830802603036
51200;контракт;32898;аналитик по обеспечению качества;Altria Group;108.28633405639914
48000;Полная занятость;93691;Специалист по документации;Reynolds American Inc.;99.77827050997783
44000;полный рабочий день;76275;финансовый бухгалтер;Huntsman;93.91675560298826
44800;контракт;49909;представитель по внутренним продажам;Вкусно и точка;94.75054229934923
50400;контракт;14944;менеджер по работе со стратегическими клиентами;Republic Services;106.5943600867679
44000;Стажер;129177;Аналитик по сетевой безопасности;Republic Services;91.95402298850574
48800;Стажер;72619;Менеджер по инвентаризации;Continental AG;101.9853709508882
44800;контракт;112909;инженер по автоматизированному тестированию;Tesla;94.75054229934923
52000;Полная занятость;64602;Дизайнер пользовательского интерфейса;Continental Resources;108.09312638580933
45600;Полная занятость;61676;торговый представитель;Henkel AG & Co. KGaA;94.78935698447894
50400;стажер;106271;консультант по устойчивому развитию;WESCO International;103.53012781497262
47200;временная;36167;инженер по электронному оборудованию;Unilever;97.06723891273248
52000;временная;117330;специалист по системной интеграции;NRG Energy;106.93848354792561
44800;Полная занятость;80811;Бренд-стратег;InterContinental Hotels Group;93.12638580931264
44000;полный рабочий день;122985;инженер-электрик;Revlon;93.91675560298826
48800;временная;18123;медсестра-практикант по оказанию неотложной помощи;Ceconomy AG;100.35765379113019
46400;неполный рабочий день;103289;судебный адвокат;Constellation Brands;95.21203830369357
48000;контракт;42479;инженер по сетевой безопасности;Interpublic Group;101.51843817787419
45600;временная;25355;психолог-исследователь;Auto-Owners Insurance;93.77682403433477
51200;неполный рабочий день;87550;координатор художественного образования;ODP;105.06155950752394
46400;неполный рабочий день;38678;менеджер по привлечению талантов;Titan Company;95.21203830369357
48800;контракт;61963;классный руководитель;страховая биржа Farmers;103.21041214750541
44000;контракт;83361;специалист по контролю за запасами;Publix Super Markets;93.058568329718
46400;контракт;53541;корпоративный юрист;Otis Worldwide;98.13449023861172
46400;неполный рабочий день;28546;разработчик баз данных SQL;US Foods Holding;95.21203830369357
47200;временная;131928;менеджер по закупкам;Croda International;97.06723891273248
50400;Стажер;31092;IT-аналитик;Travelers;105.32915360501566
44000;Стажер;39646;Практикующая медсестра по оказанию неотложной помощи;Textron;91.95402298850574
49600;стажер;71394;менеджер по работе с ключевыми клиентами;Ulta Beauty;101.88679245283019
48800;временная;70396;креативный копирайтер;American Electric Power;100.35765379113019
51200;Стажер;97571;Менеджер по закупкам;UnitedHealth Group;107.00104493207942
47200;временная;84264;SEO-специалист;Tencent Holdings;97.06723891273248
51200;Контракт;50052; фронт-энд разработчик;Otis Worldwide;106.66666666666667
